Model,Vote Parse Failures (%),Silent Messages (%),Detective → Mafioso (%),Mafioso → Detective (%),Villager → Mafioso (%)
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf (local),54.67,56.87,50.5,52.75,53.0
Mistral-7B-Instruct-v0.2-Q4_K_M.gguf (local),31.46,7.85,84.85,58.64,50.54
Qwen2.5-7B-Instruct-Q4_K_M.gguf (local),0.0,21.34,72.75,58.5,55.0
claude-3-5-haiku-latest (anthropic),0.0,87.19,0.0,62.0,0.0
claude-3-haiku-20240307 (anthropic),11.0,97.98,0.0,63.0,0.0
claude-opus-4-1-20250805 (anthropic),0.0,0.0,0.0,89.25,0.0
claude-sonnet-4-20250514 (anthropic),0.0,0.0,100.0,0.0,50.33
deepseek-chat (deepseek),0.0,0.33,100.0,84.39,66.94
deepseek-reasoner (deepseek),0.0,13.1,0.0,100.0,0.0
gemini-2.5-flash-lite (google),0.18,0.12,100.0,79.0,60.0
gpt-4.1-mini (openai),0.0,2.98,99.8,46.83,58.29
gpt-4.1-nano (openai),0.67,0.0,67.0,68.0,66.0
gpt-4o (openai),0.0,4.17,100.0,0.0,63.73
gpt-4o-mini (openai),1.2,0.6,100.0,84.33,84.0
gpt-5 (openai),0.0,0.49,0.0,57.84,0.0
gpt-5-mini (openai),0.0,0.0,100.0,32.0,56.0
grok-3-mini (xai),0.0,0.62,100.0,97.28,84.76
grok-4 (xai),0.0,0.0,0.0,100.0,0.0
